start,end,speaker
0.03,1.11,SPEAKER_02
1.26,4.01,SPEAKER_02
11.57,12.92,SPEAKER_03
13.46,19.17,SPEAKER_03
27.64,32.16,SPEAKER_03
32.45,33.73,SPEAKER_03
35.25,36.21,SPEAKER_03
36.3,39.03,SPEAKER_03
40.19,41.36,SPEAKER_03
41.46,44.04,SPEAKER_03
46.54,50.86,SPEAKER_03
51.99,55.25,SPEAKER_03
55.9,60.51,SPEAKER_03
61.78,65.51,SPEAKER_03
67.94,72.63,SPEAKER_03
74.58,78.45,SPEAKER_03
81.47,84.54,SPEAKER_03
86.38,90.19,SPEAKER_03
90.97,92.56,SPEAKER_03
93.03,96.64,SPEAKER_03
97.52,101.35,SPEAKER_03
102.41,105.53,SPEAKER_03
106.61,109.04,SPEAKER_03
110.16,115.44,SPEAKER_03
116.67,120.21,SPEAKER_03
122.73,129.73,SPEAKER_03
130.88,137.11,SPEAKER_03
138.2,142.19,SPEAKER_03
148.29,150.62,SPEAKER_03
151.38,155.94,SPEAKER_03
163.13,164.95,SPEAKER_03
169.91,172.11,SPEAKER_03
177.91,179.73,SPEAKER_03
184.8,186.57,SPEAKER_03
192.02,193.77,SPEAKER_03
199.81,201.82,SPEAKER_03
206.13,207.58,SPEAKER_03
214.6,217.14,SPEAKER_03
224.16,227.32,SPEAKER_03
234.21,244.26,SPEAKER_03
251.27,260.4,SPEAKER_03
270.01,272.76,SPEAKER_03
287.51,296.07,SPEAKER_03
304.83,313.65,SPEAKER_03
323.68,330.44,SPEAKER_03
334.43,338.88,SPEAKER_03
339.27,341.14,SPEAKER_03
354.76,357.48,SPEAKER_06
357.9,357.97,SPEAKER_07
357.97,365.37,SPEAKER_06
365.88,367.37,SPEAKER_06
367.62,474.86,SPEAKER_06
475.45,522.21,SPEAKER_06
522.68,523.97,SPEAKER_06
523.97,530.02,SPEAKER_10
530.02,574.3,SPEAKER_06
574.59,682.57,SPEAKER_06
682.79,719.31,SPEAKER_06
712.97,713.05,SPEAKER_05
713.1,713.24,SPEAKER_05
719.92,836.52,SPEAKER_06
848.2,852.08,SPEAKER_03
853.75,856.29,SPEAKER_03
857.04,861.04,SPEAKER_03
866.78,874.11,SPEAKER_09
874.43,876.11,SPEAKER_09
876.54,1042.77,SPEAKER_09
1043.6,1049.86,SPEAKER_05
1050.4,1110.34,SPEAKER_09
1110.37,1179.37,SPEAKER_09
1179.81,1187.51,SPEAKER_09
1185.33,1186.04,SPEAKER_05
1187.51,1195.71,SPEAKER_05
1196.2,1257.74,SPEAKER_09
1238.67,1239.16,SPEAKER_05
1258.03,1361.96,SPEAKER_09
1270.41,1270.97,SPEAKER_06
1370.16,1374.45,SPEAKER_03
1376.46,1379.01,SPEAKER_03
1380.29,1384.61,SPEAKER_03
1387.85,1389.99,SPEAKER_07
1390.16,1400.44,SPEAKER_07
1400.74,1422.69,SPEAKER_07
1423.23,1553.68,SPEAKER_07
1554.89,1641.24,SPEAKER_07
1641.53,1648.11,SPEAKER_08
1648.3,1667.57,SPEAKER_07
1667.92,1711.39,SPEAKER_07
1711.86,1812.44,SPEAKER_07
1812.56,1876.75,SPEAKER_07
1883.74,1887.74,SPEAKER_03
1889.66,1892.31,SPEAKER_03
1892.83,1896.71,SPEAKER_03
1901.93,1902.97,SPEAKER_10
1903.48,1904.36,SPEAKER_10
1904.66,1908.05,SPEAKER_10
1908.48,1911.68,SPEAKER_10
1912.05,1917.17,SPEAKER_10
1917.3,1919.55,SPEAKER_10
1919.93,1922.01,SPEAKER_10
1922.26,1925.55,SPEAKER_10
1925.82,1958.54,SPEAKER_10
1958.9,2022.38,SPEAKER_10
2022.7,2143.22,SPEAKER_10
2144.52,2151.96,SPEAKER_06
2151.96,2152.08,SPEAKER_10
2152.35,2389.75,SPEAKER_10
2181.21,2181.72,SPEAKER_00
2204.85,2205.34,SPEAKER_00
2227.21,2228.1,SPEAKER_00
2250.43,2251.14,SPEAKER_00
2287.54,2288.52,SPEAKER_00
2314.34,2314.5,SPEAKER_00
2314.5,2314.54,SPEAKER_02
2314.54,2314.71,SPEAKER_00
2398.74,2402.81,SPEAKER_03
2404.97,2407.64,SPEAKER_03
2409.17,2413.41,SPEAKER_03
2419.74,2902.06,SPEAKER_05
2800.37,2800.52,SPEAKER_02
2909.16,2913.01,SPEAKER_03
2915.12,2917.77,SPEAKER_03
2918.76,2923.07,SPEAKER_03
2926.81,2934.29,SPEAKER_08
2934.68,2965.54,SPEAKER_08
2965.81,3183.53,SPEAKER_08
3119.37,3120.08,SPEAKER_00
3183.03,3183.42,SPEAKER_00
3183.53,3192.27,SPEAKER_06
3192.27,3192.63,SPEAKER_08
3193.0,3241.85,SPEAKER_08
