start,end,text
11.54,11.9, Ladies
11.9,12.26, and
12.26,13.1," gentlemen,"
13.1,13.82, welcome
13.82,14.16, to
14.16,14.28, the
14.28,14.54, grand
14.54,14.88, final
14.88,15.16, of
15.16,15.32, the
30.4,31.08," debate,"
31.08,31.42, while
31.42,31.88, DIVTA
31.88,32.66, will
32.66,32.78, be
32.78,32.94, the
32.94,33.88, timekeeper.
35.2,35.38, In
35.38,35.6, this
35.6,36.32," debate,"
36.32,36.56, each
36.56,36.8, speaker
36.8,37.0, will
37.0,37.2, have
37.2,37.42, eight
37.42,37.82, minutes
37.82,38.1, to
38.1,38.28, make
38.28,38.48, their
38.48,39.16, speech.
40.18,40.48, After
40.48,40.74, one
40.74,41.42," minute,"
41.42,41.74, the
41.74,42.12, timekeeper
42.12,42.4, will
42.4,42.68, signal
42.68,43.06, once
43.06,43.52, like
43.52,44.12, this.
46.5,46.74, After
46.74,47.28," this,"
47.28,47.42, the
47.42,47.74, debaters
47.74,47.94, on
47.94,48.06, the
48.06,48.28, other
48.28,48.5, team
48.5,48.7, may
48.7,48.92, offer
48.92,49.18, point
49.18,49.28, of
49.28,49.8, information
49.8,50.22, to
50.22,50.34, the
50.34,51.02, speaker.
51.98,52.46, Debaters
52.46,52.64, must
52.64,52.8, stand
52.8,53.02, up
53.02,53.18, when
53.18,53.32, they
53.32,53.82, offer
53.82,54.2, point
54.2,54.36, of
54.36,55.16, information.
55.86,56.02, The
56.02,56.3, speaker
56.3,56.48, who
56.48,56.66, has
56.66,56.8, the
56.8,57.06, floor
57.06,57.3, may
57.3,57.6, choose
57.6,57.78, a
57.78,58.04, step
58.04,58.3, or
58.3,58.84, decline
58.84,59.18, a
59.18,59.5, point
59.5,59.8, when
59.8,60.04, it's
60.04,60.62, over.
61.74,61.94, At
61.94,62.22, seven
62.22,62.86," minutes,"
62.86,63.06, the
63.06,63.46, timekeeper
63.46,63.72, will
63.72,63.92, again
63.92,64.24, signal
64.24,64.6, once
64.6,64.98, like
64.98,65.64, this.
65.64,68.14, After
68.14,68.64," this,"
68.64,68.9, no
68.9,69.08, more
69.14,69.28, point
69.28,69.42, of
69.42,69.96, information
69.96,70.58, may
70.58,70.72, be
70.72,71.06, offered
71.06,71.32, for
71.32,71.46, the
71.46,71.74, rest
71.74,71.98, of
71.98,72.1, the
72.1,72.92, speech.
72.92,74.74, At
74.74,74.96, eight
74.96,75.56," minutes,"
75.56,75.84, the
75.84,76.22, timekeeper
76.28,76.44, will
76.44,76.62, make
76.62,76.74, a
76.74,77.02, double
77.02,77.44, signal
77.44,77.92, like
77.92,78.62, this.
78.62,81.66, After
81.66,82.16," this,"
