speaker,start,end,text
SPEAKER_03,11.54,35.38,"Ladies and gentlemen, welcome to the grand final of the debate, while DIVTA will be the timekeeper."
SPEAKER_03,35.38,40.48,"In this debate, each speaker will have eight minutes to make their speech."
SPEAKER_03,40.48,46.74,"After one minute, the timekeeper will signal once like this."
SPEAKER_03,46.74,52.46,"After this, the debaters on the other team may offer point of information to the speaker."
SPEAKER_03,52.46,56.02,Debaters must stand up when they offer point of information.
SPEAKER_03,56.02,61.94,The speaker who has the floor may choose a step or decline a point when it's over.
SPEAKER_03,61.94,68.14,"At seven minutes, the timekeeper will again signal once like this."
SPEAKER_03,68.14,74.74,"After this, no more point of information may be offered for the rest of the speech."
SPEAKER_03,74.74,81.66,"At eight minutes, the timekeeper will make a double signal like this."
SPEAKER_03,81.66,86.56,"After this, the speaker must conclude within a few seconds."
SPEAKER_03,86.56,91.24,There will be a short break at the end of the speech for the judges to complete their notes.
SPEAKER_03,91.24,97.72,"After six main speeches, each team will have the opportunity to make a four-minute reply speech."
SPEAKER_03,97.72,102.6,This can be made by either the first or second speaker on each team.
SPEAKER_03,102.6,106.78,No point of information are allowed during the reply speeches.
SPEAKER_03,106.78,110.42,The opposition will make their reply speech first.
SPEAKER_03,110.42,116.94,"After three minutes, the timekeeper will signal once to let the speaker know they have one minute left."
SPEAKER_03,116.94,122.98,"After four minutes, the timekeeper will signal twice."
SPEAKER_03,122.98,131.04,"Before the debate begins, I would like to remind you to switch off all mobile phones and anything else which might disturb the debaters."
SPEAKER_03,131.04,138.54,"Should you need to leave or re-enter the room for any reason during the debate, please wait until the end of a speech to do so."
SPEAKER_03,138.54,151.54,Audience members should be aware that they to introduce the judges for this debate.
SPEAKER_03,151.54,163.5,"They are Kip Obanda from the Philippines, who is the chair judge for today's debate."
SPEAKER_03,163.5,170.5,Aisha Ahmad from Pakistan.
SPEAKER_03,170.5,178.24,Lungisid Lamini from Swaziland.
SPEAKER_03,178.24,185.08,Yana Gilkel from Germany.
SPEAKER_03,185.08,192.4,Kevin Moore from New Zealand.
SPEAKER_03,192.4,200.1,Yulio Mayer from Mexico.
SPEAKER_03,200.1,206.46,Karen Merkins from the Netherlands.
SPEAKER_03,206.46,234.5,Yoni Kahono from Israel.
SPEAKER_03,234.5,251.48,"Their first speaker is Arthur James, the second speaker is Edward Bracey, the third speaker is Kenza Wiltz, and the reply speaker is Edward Crissy."
SPEAKER_03,251.48,258.14,"There will be two other members of the team who will not be speaking this afternoon, but we would like to acknowledge their role on the team."
SPEAKER_03,258.14,287.78,They are Hannah Taylor and Tara Salis.
SPEAKER_03,287.78,289.84,Their first speaker is Wei Xu Yang.
SPEAKER_03,289.84,289.94,"The second opposition, from And Singapore."
SPEAKER_03,289.94,291.88,the we team in have speaker is Ryan Wee.
SPEAKER_03,291.88,294.3,The third speaker is Al Wei Ho.
SPEAKER_03,294.3,305.06,And the reply speaker is Ryan Wee.
SPEAKER_03,305.06,311.24,"There will be two other members of the team who will not be speaking this afternoon, but we would like to acknowledge their role on the team."
SPEAKER_03,311.24,323.8,They are Xiuvan Tan and Jonathan Yap.
SPEAKER_03,323.8,334.52,"The motion for this debate is, this House supports restrictions on free speech to combat the rise of right-wing populism."
SPEAKER_03,334.52,339.5,It gives me a great pleasure to invite the first speaker for the proposition team to open the debate.
SPEAKER_03,339.5,355.3,Please welcome Arthur James.
SPEAKER_06,355.3,358.3,"Ladies, gentlemen, fellow wizards, muggles."
SPEAKER_06,358.3,364.02,"Right-wing populist parties, individuals and activists worldwide are a threat to minorities and to democracies."
SPEAKER_06,364.02,366.08,Side government solves this problem.
SPEAKER_06,366.06,367.82,What are our definitions in this debate?
SPEAKER_06,367.82,371.5,We think courts should decide if these are right-wing populists using five criteria.
SPEAKER_06,371.5,373.16,"The first is nativism, i.e."
SPEAKER_06,373.16,375.9,the gate-goating of immigrants and ethnic minorities.
SPEAKER_06,375.9,380.64,"The second is hostility towards elites, particularly institutions like the media and the courts."
SPEAKER_06,380.64,384.2,The third is excessive authoritarian approach to law and order.
SPEAKER_06,384.2,387.32,The fourth is a disregard for political correctness and truth.
SPEAKER_06,387.32,403.34,"And the fifth, and crucially, is that because of a desire to appeal to a broad coalition of disaffected individuals, spanning the socio-political divide, and often with different political desires, they often have a shallow policy agenda designed to appeal to as many people as possible."
SPEAKER_06,403.34,404.12,What does it look like?
SPEAKER_06,404.0,408.8,"looks It like Trump in the US, Duterte in the Philippines, the AFD in Germany."
SPEAKER_06,408.8,411.24,What's our model for dealing with these individuals and groups?
SPEAKER_06,411.24,416.14,We would institute a range of restrictions on free speech of political parties and their activists.
SPEAKER_06,416.14,433.88,"That goes from shutting down websites and individuals which advocate on their behalf, like Breitbart or Milo Yiannopoulos, to not providing them with a platform, not reporting on them in the media or allowing them to speak in town hall events, to banning them from social media, or, in some instances, being happy to ban them from contesting elections entirely."
SPEAKER_06,433.88,441.82,We think that's an extension of the precedent set in the banning of the neo-Nazi party in Germany and of states around the world in banning hate speech.
SPEAKER_06,441.82,450.82,"We would note that while the unique phenomenon of right-wing populism is a problem today, where a similar problem to arise with left-wing populism, we would support this policy there too."
SPEAKER_06,450.82,452.38,We have two burdens in this debate.
SPEAKER_06,452.38,460.54,"The first is to show you that this policy is justified, and the second is to show you that this is an effective way of dealing with the danger that right-wing populists present."
SPEAKER_06,460.54,462.64,"With that in mind, we're bringing you three arguments."
SPEAKER_06,462.64,465.22,The first is that we combat the threat to minorities.
SPEAKER_06,465.22,471.24,The second is that this harms the development of solutions to the problems which lead to right-wing populists coming about at all.
SPEAKER_06,471.24,475.64,"And the third, in Ed's speech, is how this is a fundamental affront to democracy."
SPEAKER_06,475.64,485.08,"Before I move on to my first argument about how we actually combat the threat to minorities, what are the principal parameters within which this debate takes place?"
SPEAKER_06,485.08,485.56,Two things.
SPEAKER_06,485.56,491.8,"The first is that democracy necessitates a balance of rights, because the rights of individuals sometimes contradict each other."
SPEAKER_06,491.8,496.14,My right to wave my wand in the air contradicts Kenza's right not to get poked in the eye.
SPEAKER_06,496.14,502.76,We believe that protecting the most vulnerable from physical harm weighs up more than the ability of certain individuals to have freedom of speech.
