speaker,start,end,text
SPEAKER_03,11.54,11.9, Ladies
SPEAKER_03,11.9,12.26, and
SPEAKER_03,12.26,13.1," gentlemen,"
SPEAKER_03,13.1,13.82, welcome
SPEAKER_03,13.82,14.16, to
SPEAKER_03,14.16,14.28, the
SPEAKER_03,14.28,14.54, grand
SPEAKER_03,14.54,14.88, final
SPEAKER_03,14.88,15.16, of
SPEAKER_03,15.16,15.32, the
SPEAKER_03,30.4,31.08," debate,"
SPEAKER_03,31.08,31.42, while
SPEAKER_03,31.42,31.88, DIVTA
SPEAKER_03,31.88,32.66, will
SPEAKER_03,32.66,32.78, be
SPEAKER_03,32.78,32.94, the
SPEAKER_03,32.94,33.88, timekeeper.
SPEAKER_03,35.2,35.38, In
SPEAKER_03,35.38,35.6, this
SPEAKER_03,35.6,36.32," debate,"
SPEAKER_03,36.32,36.56, each
SPEAKER_03,36.56,36.8, speaker
SPEAKER_03,36.8,37.0, will
SPEAKER_03,37.0,37.2, have
SPEAKER_03,37.2,37.42, eight
SPEAKER_03,37.42,37.82, minutes
SPEAKER_03,37.82,38.1, to
SPEAKER_03,38.1,38.28, make
SPEAKER_03,38.28,38.48, their
SPEAKER_03,38.48,39.16, speech.
SPEAKER_03,40.18,40.48, After
SPEAKER_03,40.48,40.74, one
SPEAKER_03,40.74,41.42," minute,"
SPEAKER_03,41.42,41.74, the
SPEAKER_03,41.74,42.12, timekeeper
SPEAKER_03,42.12,42.4, will
SPEAKER_03,42.4,42.68, signal
SPEAKER_03,42.68,43.06, once
SPEAKER_03,43.06,43.52, like
SPEAKER_03,43.52,44.12, this.
SPEAKER_03,46.5,46.74, After
SPEAKER_03,46.74,47.28," this,"
SPEAKER_03,47.28,47.42, the
SPEAKER_03,47.42,47.74, debaters
SPEAKER_03,47.74,47.94, on
SPEAKER_03,47.94,48.06, the
SPEAKER_03,48.06,48.28, other
SPEAKER_03,48.28,48.5, team
SPEAKER_03,48.5,48.7, may
SPEAKER_03,48.7,48.92, offer
SPEAKER_03,48.92,49.18, point
SPEAKER_03,49.18,49.28, of
SPEAKER_03,49.28,49.8, information
SPEAKER_03,49.8,50.22, to
SPEAKER_03,50.22,50.34, the
SPEAKER_03,50.34,51.02, speaker.
SPEAKER_03,51.98,52.46, Debaters
SPEAKER_03,52.46,52.64, must
SPEAKER_03,52.64,52.8, stand
SPEAKER_03,52.8,53.02, up
SPEAKER_03,53.02,53.18, when
SPEAKER_03,53.18,53.32, they
SPEAKER_03,53.32,53.82, offer
SPEAKER_03,53.82,54.2, point
SPEAKER_03,54.2,54.36, of
SPEAKER_03,54.36,55.16, information.
SPEAKER_03,55.86,56.02, The
SPEAKER_03,56.02,56.3, speaker
SPEAKER_03,56.3,56.48, who
SPEAKER_03,56.48,56.66, has
SPEAKER_03,56.66,56.8, the
SPEAKER_03,56.8,57.06, floor
SPEAKER_03,57.06,57.3, may
SPEAKER_03,57.3,57.6, choose
SPEAKER_03,57.6,57.78, a
SPEAKER_03,57.78,58.04, step
SPEAKER_03,58.04,58.3, or
SPEAKER_03,58.3,58.84, decline
SPEAKER_03,58.84,59.18, a
SPEAKER_03,59.18,59.5, point
SPEAKER_03,59.5,59.8, when
SPEAKER_03,59.8,60.04, it's
SPEAKER_03,60.04,60.62, over.
SPEAKER_03,61.74,61.94, At
SPEAKER_03,61.94,62.22, seven
SPEAKER_03,62.22,62.86," minutes,"
SPEAKER_03,62.86,63.06, the
SPEAKER_03,63.06,63.46, timekeeper
SPEAKER_03,63.46,63.72, will
SPEAKER_03,63.72,63.92, again
SPEAKER_03,63.92,64.24, signal
SPEAKER_03,64.24,64.6, once
SPEAKER_03,64.6,64.98, like
SPEAKER_03,64.98,65.64, this.
SPEAKER_03,65.64,68.14, After
SPEAKER_03,68.14,68.64," this,"
SPEAKER_03,68.64,68.9, no
SPEAKER_03,68.9,69.08, more
SPEAKER_03,69.14,69.28, point
SPEAKER_03,69.28,69.42, of
SPEAKER_03,69.42,69.96, information
SPEAKER_03,69.96,70.58, may
SPEAKER_03,70.58,70.72, be
SPEAKER_03,70.72,71.06, offered
SPEAKER_03,71.06,71.32, for
SPEAKER_03,71.32,71.46, the
SPEAKER_03,71.46,71.74, rest
SPEAKER_03,71.74,71.98, of
SPEAKER_03,71.98,72.1, the
SPEAKER_03,72.1,72.92, speech.
SPEAKER_03,72.92,74.74, At
SPEAKER_03,74.74,74.96, eight
SPEAKER_03,74.96,75.56," minutes,"
SPEAKER_03,75.56,75.84, the
SPEAKER_03,75.84,76.22, timekeeper
SPEAKER_03,76.28,76.44, will
SPEAKER_03,76.44,76.62, make
SPEAKER_03,76.62,76.74, a
SPEAKER_03,76.74,77.02, double
SPEAKER_03,77.02,77.44, signal
SPEAKER_03,77.44,77.92, like
SPEAKER_03,77.92,78.62, this.
SPEAKER_03,78.62,81.66, After
SPEAKER_03,81.66,82.16," this,"
SPEAKER_03,82.16,82.3, the
SPEAKER_03,82.3,82.54, speaker
SPEAKER_03,82.54,82.8, must
SPEAKER_03,82.8,83.2, conclude
SPEAKER_03,83.2,83.46, within
SPEAKER_03,83.46,83.64, a
SPEAKER_03,83.64,83.8, few
SPEAKER_03,83.8,84.66, seconds.
SPEAKER_03,84.66,86.56, There
SPEAKER_03,86.56,86.74, will
SPEAKER_03,86.74,86.86, be
SPEAKER_03,86.86,87.0, a
SPEAKER_03,87.0,87.16, short
SPEAKER_03,87.16,87.36, break
SPEAKER_03,87.36,87.58, at
SPEAKER_03,87.58,87.66, the
SPEAKER_03,87.66,87.74, end
SPEAKER_03,87.74,87.84, of
SPEAKER_03,87.84,87.98, the
SPEAKER_03,87.98,88.24, speech
SPEAKER_03,88.24,88.48, for
SPEAKER_03,88.48,88.6, the
SPEAKER_03,88.6,88.88, judges
SPEAKER_03,88.88,89.1, to
SPEAKER_03,89.1,89.46, complete
SPEAKER_03,89.46,89.68, their
SPEAKER_03,89.68,90.56, notes.
SPEAKER_03,90.56,91.24, After
SPEAKER_03,91.24,91.56, six
SPEAKER_03,91.56,91.84, main
SPEAKER_03,91.84,92.68," speeches,"
SPEAKER_03,92.68,93.24, each
SPEAKER_03,93.24,93.44, team
SPEAKER_03,93.44,93.62, will
SPEAKER_03,93.62,93.76, have
SPEAKER_03,93.76,93.9, the
SPEAKER_03,93.9,94.32, opportunity
SPEAKER_03,94.32,94.72, to
SPEAKER_03,94.72,94.92, make
SPEAKER_03,94.92,95.1, a
SPEAKER_03,95.1,95.38, four
SPEAKER_03,95.38,95.6,-minute
SPEAKER_03,95.6,96.02, reply
SPEAKER_03,96.02,96.94, speech.
SPEAKER_03,96.94,97.72, This
SPEAKER_03,97.72,97.9, can
SPEAKER_03,97.9,98.06, be
SPEAKER_03,98.06,98.28, made
SPEAKER_03,98.28,98.48, by
SPEAKER_03,98.48,98.76, either
SPEAKER_03,98.76,98.94, the
SPEAKER_03,98.94,99.34, first
SPEAKER_03,99.34,99.62, or
SPEAKER_03,99.62,99.88, second
SPEAKER_03,99.88,100.26, speaker
SPEAKER_03,100.26,100.72, on
SPEAKER_03,100.72,100.92, each
SPEAKER_03,100.92,102.14, team.
SPEAKER_03,102.14,102.6, No
SPEAKER_03,102.6,102.86, point
SPEAKER_03,102.86,103.02, of
SPEAKER_03,103.02,103.48, information
SPEAKER_03,103.48,103.72, are
SPEAKER_03,103.72,104.06, allowed
SPEAKER_03,104.06,104.3, during
SPEAKER_03,104.3,104.44, the
SPEAKER_03,104.44,104.78, reply
SPEAKER_03,104.78,105.78, speeches.
SPEAKER_03,105.78,106.78, The
SPEAKER_03,106.78,107.18, opposition
SPEAKER_03,107.38,107.46, will
SPEAKER_03,107.46,107.62, make
SPEAKER_03,107.62,107.76, their
SPEAKER_03,107.76,108.1, reply
SPEAKER_03,108.1,108.42, speech
SPEAKER_03,108.42,109.66, first.
SPEAKER_03,109.66,110.42, After
SPEAKER_03,110.42,110.74, three
