debate_id	title	distance_v1	interval_v3	order_v1	rally_v1	score
0	The Kansai 2018 R4	0.7083333333333333	1.0	0.40484429065743943	0.5149038461538462	1.2114148034779524
1	The Kansai 2019 R1	0.6089743589743589	0.92	0.6130030959752323	0.4903846153846154	1.5744133523854886
2	【CJS入門レクチャー①】mixidea高校定期練習【prisonerに選挙権を与えるべきか】	0.5555555555555555	0.64	0.7941176470588236	0.4509283819628648	2.049490473466133
3	【HPDU直前追い込み練習!!】mixidea定期高校練習【議会に女性クオータ導入の是非】	0.6944444444444444	0.2	0.6978609625668449	0.4112903225806452	2.2147068407030455
4	【The Kansai 2023 】 Round 1うりぼーA VS APカード【RFD: Tota】	0.7142857142857142	0.52	0.4343891402714932	0.5480769230769231	1.7481803490627021
5	【The関西GFモーションを高校生にやってもらった】mixidea高校生定期練習	1.0	0.16	0.6965944272445821	0.6312997347480106	2.1678941619925927
6	【gangの構成員を逮捕!？】mixidea高校定期練習【あんちゃん、野球やろっか】	0.5113636363636364	0.64	0.6274509803921569	0.6346153846153847	2.110702728643905
7	【mixidea高校定期練習】 May_s Tournamement優勝候補 vs 富士見高校+第五	0.5357142857142857	0.8	0.5294117647058824	0.6538461538461539	1.8475436328377506
8	【tiger parenting】mixidea高校定期練習	0.3693181818181818	0.92	0.23017902813299232	0.4903846153846154	1.431245461699426
9	【ゲスト： 大村さん、榎本さん】mixidea高校定期練習【2nd スピーカーの役割レクチャー + ラウンド】	0.4642857142857143	0.8	0.5173796791443851	0.6183110367892978	1.8714050016479686
10	【スマホでpolice brutalityを潰そう】mixidea高校定期練習	0.8333333333333333	0.6	0.7737556561085973	0.20647773279352227	1.5469000555687862
11	【デュエルしようぜ】mixidea高校定期練習	0.46875	0.52	0.41596638655462187	0.5646853146853148	1.9919017012399367
12	【子なし世帯への重課税!？】mixidea高校定期練習 【もりかんのやさしみ溢れるRFD】	0.5357142857142857	0.08	1.0	0.5384615384615384	2.9227472527472527
13	【小石川高校 vs WSDC連合】高校定期練【高校生のバイトって実際どうなん】	0.3629032258064516	0.24	0.41911764705882354	0.6937148217636022	2.509929243015974
14	【政治家の私生活報道】mixidea定期高校練習	0.588235294117647	0.68	0.37466063348416295	0.9390343698854339	2.0454597092519498
15	【民営化 vs 国営化】mixidea高校定期練習	0.38461538461538464	0.68	0.36470588235294116	1.0	2.3000904977375565
16	【確かに戦隊モノって女性ヒーローいないよに】mixidea高校定期練習	0.5499999999999999	0.72	0.9653979238754326	0.30649038461538464	2.0018883084908174
17	銀杏杯2016 Oct Fainal gov JOINT B vs. opp Kyoto B	0.5921052631578947	0.8	0.7801857585139319	0.4509283819628648	1.839008877318902
18	銀杏杯 Pre-Oct gov JOINTB  vs  opp HitU-E	0.15625	0.16	0.9264705882352942	0.6538461538461539	3.264066742081448
19	銀杏杯 2016 Oct. Gov.NitA Opp.KDS	0.625	0.16	0.5294117647058824	0.7959866220735787	2.540398386779461
