id,Title,key,Participant A,GPT,average_evaluation,1-distance_v1,rally_v1,1-interval_v1,order_v1
1,The Kansai 2018 R4,か弱い女性像,2,2,2,0.2916666667,0.5149038462,0.0714786917,0.4048442907
2,The Kansai 2019 R1,酩酊弁護の廃止,2,2,2,0.391025641,0.4903846154,0.180349489,0.613003096
3,【CJS入門レクチャー①】mixidea高校定期練習【prisonerに選挙権を与えるべきか】,受刑者の投票許可,3,2,2.5,0.4444444444,0.450928382,0.4715274834,0.7941176471
4,【HPDU直前追い込み練習!!】mixidea定期高校練習【議会に女性クオータ導入の是非】,議会女性枠の導入,3,2,2.5,0.3055555556,0.4112903226,0.9274645565,0.6978609626
5,【The Kansai 2023 】 Round 1うりぼーA VS APカード【RFD: Tota】,医療特許の公開,2,3,2.5,0.2857142857,0.5480769231,0.7643503875,0.4343891403
6,【The関西GFモーションを高校生にやってもらった】mixidea高校生定期練習,禁欲的生活,2,3,2.5,0,0.6312997347,1,0.6965944272
7,【gangの構成員を逮捕!？】mixidea高校定期練習【あんちゃん、野球やろっか】,暴力団の違法化,2,2,2,0.4886363636,0.6346153846,0.6554566436,0.6274509804
8,【mixidea高校定期練習】 May's Tournamement優勝候補 vs 富士見高校+第五,高齢の親との同居,2,3,2.5,0.4642857143,0.6538461538,0.5943039266,0.5294117647
9,【tiger parenting】mixidea高校定期練習,厳格な子育ての禁止,2,2,2,0.6306818182,0.4903846154,0.2443560396,0.2301790281
10,【ゲスト: 大村さん、榎本さん】mixidea高校定期練習【2nd スピーカーの役割レクチャー + ラウンド】,テレワーク,2,2,2,0.5357142857,0.6183110368,0.5482078093,0.5173796791
11,【スマホでpolice brutalityを潰そう】mixidea高校定期練習,警察の暴力の投稿奨励,2,2,2,0.1666666667,0.2064777328,0.7245380183,0.7737556561
12,【デュエルしようぜ】mixidea高校定期練習,決闘の合法化,3,2,2.5,0.53125,0.5646853147,0.5958739579,0.4159663866
13,【子なし世帯への重課税!？】mixidea高校定期練習 【もりかんのやさしみ溢れるRFD】,子無し世帯への課税,3,4,3.5,0.4642857143,0.5384615385,1,1
14,【小石川高校 vs WSDC連合】高校定期練【高校生のバイトって実際どうなん】,高校生のバイト,4,4,4,0.6370967742,0.6937148218,0.9208704253,0.4191176471
15,【政治家の私生活報道】mixidea定期高校練習,政治家の私生活報道,4,2,3,0.4117647059,0.9390343699,0.5539070227,0.3746606335
16,【民営化 vs 国営化】mixidea高校定期練習,性産業国有化,2,3,2.5,0.6153846154,1,0,0.3647058824
17,【確かに戦隊モノって女性ヒーローいないよに】mixidea高校定期練習,女性ヒーローリーダー,2,2,2,0.45,0.3064903846,0.1673810309,0.9653979239
18,銀杏杯 2016 Oct. Gov.NitA Opp.KDS,身代金違法化1,3,2,2.5,0.4078947368,0.7959866221,0.2484212128,0.7801857585
19,銀杏杯 Pre-Oct gov JOINTB vs opp HitU-E,治療拒否権への介入,4,4,4,0.84375,0.6538461538,0.8694362018,0.9264705882
20,銀杏杯2016 Oct Fainal gov JOINT B vs. opp Kyoto B,身代金違法化2,2,2,2,0.375,0.450928382,0.9274645565,0.5294117647
